SUB_TYPE,FOLDER_NAME,EVENT_MONTH,EVENT_YEAR,AMPLIFIED_SOUND_DISTRICT,CALENDAR_YEAR_FOLDER_CREATED,CAPACITY,DECIBEL_LEVEL,END_HOURS_CONC_POUR_MON_SAT,END_HOURS_MOV_VEH_MON_SAT,END_HOURS_MOV_VEH_SUN,END_HOURS_NEAR_HOME_FRI_SAT,END_HOURS_NEAR_HOME_SUN_THUR,END_HOURS_NOT_NEAR_HOME,EXISTING_ZONING,EXPIRATION_DATE,IN_DATE,ISSUE_DATE,OMV_FRI_END_TIME,OMV_FRI_START_TIME,OMV_MON_END_TIME,OMV_MON_START_TIME,OMV_SAT_END_TIME,OMV_SAT_START_TIME,OMV_SUN_END_TIME,OMV_SUN_START_TIME,OMV_THU_END_TIME,OMV_THU_START_TIME,OMV_TUE_END_TIME,OMV_TUE_START_TIME,OMV_WED_END_TIME,OMV_WED_START_TIME,PROPERTYRSN,REST_51_PERCENT_FOOD_SALES,SQUARE_FOOTAGE,START_DATE,START_DATE_2,START_DATE_3,START_DATE_4,START_HOURS_CONC_POUR_MON_SAT,START_HOURS_MOV_VEH_MON_SAT,START_HOURS_MOV_VEH_SUN,START_HOURS_NEAR_HOME_FRI_SAT,START_HOURS_NEAR_HOME_SUN_THUR,START_HOURS_NOT_NEAR_HOME,STATUS,STREET_ADDRESS,ZIPCODE,LATITUDE,LONGITUDE,COUNCIL_DISTRICT,LOCATION,PERMIT_NUMBER
Outdoor Music Venue,Shakespeare's Pub,,,6th Street District,2010,179,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2010-02-09,2010-03-11,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,179007,No,1500,,,,,,,,,,,Expired,314  6TH ST,78701,30.26752638,-97.73971914,9,"(30.26752638,-97.73971914)",2010-010802 SO
Outdoor Music Venue,Shakespeare's Pub,,,6th Street District,2011,179,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2011-03-31,2011-04-29,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,179007,No,1500,,,,,,,,,,,Expired,314  6TH ST,78701,30.26752638,-97.73971914,9,"(30.26752638,-97.73971914)",2011-026389 SO
Outdoor Music Venue,The Blind Pig,,,6th Street District,2011,186,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2011-03-23,2011-04-29,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,166760,No,2700,,,,,,,,,,,Expired,317  6TH ST,78701,30.2670305,-97.73981484,9,"(30.2670305,-97.73981484)",2011-023334 SO
Outdoor Music Venue,THE BLIND PIG,,,6th Street District,2012,186,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2012-05-30,2012-06-19,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,166760,No,2700,,,,,,,,,,,Expired,317  6TH ST,78701,30.2670305,-97.73981484,9,"(30.2670305,-97.73981484)",2012-053574 SO
Outdoor Music Venue,Shakespeare's Pub,,,6th Street District,2013,179,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2013-04-24,2014-08-20,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,179007,No,1500,,,,,,,,,,,Expired,314  6TH ST,78701,30.26752638,-97.73971914,9,"(30.26752638,-97.73971914)",2013-041933 SO
Outdoor Music Venue,The Ranch,,,Other,2013,299,80,,,,,,,GR - COMMUNITY COMMERCIAL,,2013-04-24,2013-05-29,Midnight,10:00am,10:30pm,10:00am,Midnight,10:00am,10:30pm,10:00am,11:00pm,10:00am,10:30pm,10:00am,10:30pm,10:00am,3286194,No,4708,,,,,,,,,,,Expired,710  6TH ST,78701,30.27025454,-97.75005784,9,"(30.27025454,-97.75005784)",2013-041823 SO
Outdoor Music Venue,The Blind Pig Pub,,,6th Street District,2013,186,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2013-05-10,2013-06-21,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,166760,No,2700,,,,,,,,,,,Expired,317  6TH ST,78701,30.2670305,-97.73981484,9,"(30.2670305,-97.73981484)",2013-048455 SO
Outdoor Music Venue,Buckshot,,,6th Street District,2013,1,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2013-05-10,2013-10-28,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,796155,No,1,,,,,,,,,,,Expired,422  6TH ST,78701,30.26714913,-97.7383383,9,"(30.26714913,-97.7383383)",2013-048568 SO
Outdoor Music Venue,"Blind Pig Pub, The",,,6th Street District,2014,633,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2014-07-30,2014-08-29,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,166760,No,2700,,,,,,,,,,,Expired,317  6TH ST,78701,30.2670305,-97.73981484,9,"(30.2670305,-97.73981484)",2014-080165 SO
Outdoor Music Venue,Buckshot,,,6th Street District,2014,1,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2014-10-14,2015-02-19,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,796155,No,1,,,,,,,,,,,Expired,422  6TH ST,78701,30.26714913,-97.7383383,9,"(30.26714913,-97.7383383)",2014-110679 SO
Outdoor Music Venue,"Blind Pig Pub, The",,,6th Street District,2015,633,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2015-08-24,2015-10-13,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,2:00 a.m.,10:00 a.m.,166760,No,2700,,,,,,,,,,,Expired,317  6TH ST,78701,30.2670305,-97.73981484,9,"(30.2670305,-97.73981484)",2015-102500 SO
Outdoor Music Venue,Buckshot,,,6th Street District,2016,Open Doors/Windows,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2016-02-01,2016-02-26,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,796155,No,1,,,,,,,,,,,Expired,422  6TH ST,78701,30.26714913,-97.7383383,9,"(30.26714913,-97.7383383)",2016-010429 SO
Outdoor Music Venue,Buckshot,,,6th Street District,2017,See Approved Load Cards,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2017-02-27,2017-03-16,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,796155,No,1,,,,,,,,,,,Expired,422  6TH ST,78701,30.26714913,-97.7383383,9,"(30.26714913,-97.7383383)",2017-022811 SO
Outdoor Music Venue,Jo's Coffee,,,Other,2010,50,70,,,,,,,CS-1 - LIQUOR SALES,,2010-01-26,2010-03-09,10:30 p.m.,,10:30 p.m.,,10:30 p.m.,,10:30 p.m.,,10:30 p.m.,,10:30 p.m.,,10:30 p.m.,,331412,Yes,800,,,,,,,,,,,Expired,1300  CONGRESS AVE,78704,30.25107106,-97.74951613,9,"(30.25107106,-97.74951613)",2010-006791 SO
Outdoor Music Venue,Jo's Coffee,,,Other,2011,50,70,,,,,,,CS-1 - LIQUOR SALES,,2011-01-13,2011-04-27,10:00 p.m.,10:00 a.m.,10:00 p.m.,10:00 a.m.,10:00 p.m.,10:00 a.m.,10:00 p.m.,10:00 a.m.,10:00 p.m.,10:00 a.m.,10:00 p.m.,10:00 a.m.,10:00 p.m.,10:00 a.m.,331412,Yes,800,,,,,,,,,,,Expired,1300  CONGRESS AVE,78704,30.25107106,-97.74951613,9,"(30.25107106,-97.74951613)",2011-003152 SO
Outdoor Music Venue,Jo's Coffee,,,Other,2012,50,70,,,,,,,CS-1-V-CO-NP,,2012-03-13,2012-05-08,11:00 p.m.,10:00 a.m.,9:00 p.m.,10:00 a.m.,11:00 p.m.,10:00 a.m.,9:00 p.m.,10:00 a.m.,9:00 p.m.,10:00 a.m.,9:00 p.m.,10:00 a.m.,9:00 p.m.,10:00 a.m.,331412,Yes,800,,,,,,,,,,,Expired,1300  CONGRESS AVE,78704,30.25107106,-97.74951613,9,"(30.25107106,-97.74951613)",2012-024435 SO
Outdoor Music Venue,Headhunters Club,,,Other,2010,49,85,,,,,,,DMU - DOWNTOWN MIXED USE,,2010-02-23,2010-03-16,Midnight,,10:30 p.m.,,Midnight,,10:30 p.m.,,11:00 p.m.,,10:30 p.m.,,10:30 p.m.,,249657,No,850,,,,,,,,,,,Expired,720  RED RIVER ST,78701,30.26829432,-97.73676128,9,"(30.26829432,-97.73676128)",2010-014533 SO
Advertising Sound Amplification,Target,OCTOBER,2011,Other,2011,,85,,,,,,5:00 P.M.,CBD - CENTRAL BUSINESS DISTRICT,2011-10-14,2011-10-12,2011-10-12,,,,,,,,,,,,,,,402813,,,2011-10-14,,,,,,,,,10:00 A.M.,Expired,400  CONGRESS AVE,78701,30.26649962,-97.74389108,9,"(30.26649962,-97.74389108)",2011-092152 SO
Outdoor Music Venue,Hill's Cafe,,,Other,2010,450,70,,,,,,,CS-1 - LIQUOR SALES,,2010-04-07,2010-04-28,Midnight,,10:30 p.m.,,Midnight,,10:30 p.m.,,11:00  p.m.,,10:30 p.m.,,10:30 p.m.,,498663,Yes,15000,,,,,,,,,,,Expired,4700  CONGRESS AVE,78745,30.21544953,-97.76884267,3,"(30.21544953,-97.76884267)",2010-028863 SO
Outdoor Music Venue,Hill's Cafe,,,Other,2011,450,70,,,,,,,CS-1 - LIQUOR SALES,,2011-03-31,2011-05-05,Midnight,,10:30 p.m.,,Midnight,,10:30 p.m.,,11:00  p.m.,,10:30 p.m.,,10:30 p.m.,,498663,Yes,15000,,,,,,,,,,,Expired,4700  CONGRESS AVE,78745,30.21544953,-97.76884267,3,"(30.21544953,-97.76884267)",2011-026764 SO
Outdoor Music Venue,HILL'S CAFE,,,Other,2012,450,70,,,,,,,CS-1 - LIQUOR SALES,,2012-07-11,2012-08-16,10:30 P.M.,7:00 P.M.,10:30 P.M.,7:00 P.M.,10:30 P.M.,7:00 P.M.,10:30 P.M.,7:00 P.M.,10:30 P.M.,7:00 P.M.,10:30 P.M.,7:00 P.M.,10:30 P.M.,7:00 P.M.,498663,Yes,15000,,,,,,,,,,,Expired,4700  CONGRESS AVE,78745,30.21544953,-97.76884267,3,"(30.21544953,-97.76884267)",2012-069173 SO
Outdoor Music Venue,Lucille,,,Other,2022,See Load Cards,75,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2022-09-12,2022-10-04,Midnight,10:00am,10:30pm,10:00am,Midnight,10:00am,10:30pm,10:00am,11:00pm,10:00am,10:30pm,10:00am,10:30pm,10:00am,93176,No,2000,,,,,,,,,,,Expired,77  RAINEY ST,78701,30.25876324,-97.73846864,9,"(30.25876324,-97.73846864)",2022-138646 SO
Outdoor Music Venue,Augustine,,,Other,2022,See load cards,75,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2022-09-12,2022-10-04,12:00AM,10AM,10:30PM,10AM,12:00AM,10AM,10:30PM,10AM,11:00PM,10AM,10:30PM,10AM,10:30PM,10AM,92546,No,2200,,,,,,,,,,,Expired,86  RAINEY ST,78701,30.25970905,-97.7387252,9,"(30.25970905,-97.7387252)",2022-138662 SO
Outdoor Music Venue,Augustine,,,Other,2024,See load cards,75,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2024-01-26,2024-03-11,12:00AM,10:00AM,10:30PM,10:00AM,12:00AM,10:00AM,10:30PM,10:00AM,11:00PM,10:00AM,10:30PM,10:00AM,10:30PM,10:00AM,92546,No,2200,,,,,,,,,,,Approved,86  RAINEY ST,78701,30.25970905,-97.7387252,9,"(30.25970905,-97.7387252)",2024-010264 SO
Outdoor Music Venue,Augustine,,,Other,2025,See load cards,75,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2025-04-01,,12:00AM,10:00AM,10:30PM,10:00AM,12:00AM,10:00AM,10:30PM,10:00AM,11:00PM,10:00AM,10:30PM,10:00AM,10:30PM,10:00AM,92546,No,2200,,,,,,,,,,,In Review,86  RAINEY ST,78701,30.25970905,-97.7387252,9,"(30.25970905,-97.7387252)",2025-038798 SO
Outdoor Music Venue,Rain on 4th,,,Warehouse District,2010,71,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2010-09-23,2010-10-28,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,91568,No,5000,,,,,,,,,,,Expired,217  4TH ST,78701,30.26653839,-97.74567389,9,"(30.26653839,-97.74567389)",2010-082465 SO
Advertising Sound Amplification,Summer of Love Block Party,SEPTEMBER,2012,Other,2012,,85,,,,10:00pm,,,CS - GENERAL COMMERCIAL,2012-09-01,2012-08-31,2012-08-31,,,,,,,,,,,,,,,563876,,,2012-09-01,,,,,,,2:00pm,,,Expired,2421  WEBBERVILLE RD,78702,30.26269974,-97.71444492,3,"(30.26269974,-97.71444492)",2012-088819 SO
Outdoor Music Venue,Shady Grove,,,Other,2015,364,85,,,,,,,CS-1 - LIQUOR SALES,,2015-01-27,2015-03-06,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,10:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,665300,No,2770,,,,,,,,,,,Expired,1624  BARTON SPRINGS RD,78704,30.26278314,-97.76201546,9,"(30.26278314,-97.76201546)",2015-009577 SO
Outdoor Music Venue,Shady Grove,,,Other,2016,364,85,,,,,,,CS-1 - LIQUOR SALES,,2016-01-15,,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,10:00pm,10:00am,8:00pm,10:00am,8:00pm,10:00am,665300,No,2770,,,,,,,,,,,In Review,1624  BARTON SPRINGS RD,78704,30.26278314,-97.76201546,9,"(30.26278314,-97.76201546)",2016-005071 SO
Outdoor Music Venue,Rainey Hookah Lounge,,,Other,2016,310,75,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2016-07-07,2016-08-25,10:00PM,10:00AM,8:00PM,10:00AM,10:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,93062,No,3500,,,,,,,,,,,Expired,84 SB IH 35 SVRD,78701,30.25972476,-97.73760005,9,"(30.25972476,-97.73760005)",2016-079995 SO
Government Amplified Sound,YMCA of Austin,FEBRUARY,2010,Other,2010,1000,85,,,,1:00 p.m.,,,PUD - PLANNED UNIT DEVELOPMENT,2010-02-27,2010-02-16,2010-02-16,,,,,,,,,,,,,,,3185839,No,2000,2010-02-27,,,,,,,10:00 a.m.,,,Expired,4550  MUELLER BLVD,78723,30.29720616,-97.7073439,9,"(30.29720616,-97.7073439)",2010-012546 SO
Government Amplified Sound,4551 MUELLER BLVD,OCTOBER,2011,Other,2011,,85,,,,,,12:00 p.m.,PUD - PLANNED UNIT DEVELOPMENT,2011-10-09,2011-10-06,2011-10-06,,,,,,,,,,,,,,,3185724,,,2011-10-09,,,,,,,,,10:00 a.m.,Expired,4551  MUELLER BLVD,78723,30.29775784,-97.70688516,9,"(30.29775784,-97.70688516)",2011-090269 SO
Private Sound Amplification,The Wave,JUNE,2009,6th Street District,2009,,75,,,,,,2:00,CBD - CENTRAL BUSINESS DISTRICT,2009-06-13,2009-06-09,2009-06-09,,,,,,,,,,,,,,,200744,,,2009-06-12,,,,,,,,,12:00,Expired,408  6TH ST,78701,30.26727938,-97.73879424,9,"(30.26727938,-97.73879424)",2009-060218 SO
Outdoor Music Venue,The Wave,,,6th Street District,2010,380,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2010-02-22,2010-03-16,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,200744,No,4500,,,,,,,,,,,Expired,408  6TH ST,78701,30.26727938,-97.73879424,9,"(30.26727938,-97.73879424)",2010-014063 SO
Private Sound Amplification,1728 BARTON SPRINGS RD,APRIL,2017,Within 600 ft of Residential,2017,,70,,,,,8:00pm,,CS - GENERAL COMMERCIAL,2017-04-25,2017-04-13,2017-04-13,,,,,,,,,,,,,,,690830,,,2017-04-25,,,,,,,,5:00pm,,Expired,1728  BARTON SPRINGS RD,78704,30.26386181,-97.76327626,9,"(30.26386181,-97.76327626)",2017-043903 SO
Government Amplified Sound,2310 S LAMAR BLVD Unit 102,APRIL,2010,Other,2010,,70,,,,10:00 p.m.,,,CS - GENERAL COMMERCIAL,2010-04-30,2010-04-29,2010-04-29,,,,,,,,,,,,,,,3116601,,,2010-04-30,,,,,,,5:00 p.m.,,,Expired,2310  LAMAR BLVD,78704,30.24752373,-97.77489672,5,"(30.24752373,-97.77489672)",2010-036924 SO
Outdoor Music Venue,Irie Bean Coffee Bar,,,Other,2010,30,70,,,,,,,CS - GENERAL COMMERCIAL,,2010-05-12,2010-08-19,10:00 p.m.,,8:30 p.m.,,10:00 p.m.,,8:30 p.m.,,8:30 p.m.,,8:30 p.m.,,8:30 p.m.,,3116601,Yes,871,,,,,,,,,,,Expired,2310  LAMAR BLVD,78704,30.24752373,-97.77489672,5,"(30.24752373,-97.77489672)",2010-041149 SO
Government Amplified Sound,2310 S LAMAR BLVD Unit 102,JUNE,2010,Other,2010,,85,,,,9:00 p.m.,,,CS - GENERAL COMMERCIAL,2010-06-25,2010-06-23,2010-06-23,,,,,,,,,,,,,,,3116601,,,2010-06-25,,,,,,,6:00 p.m.,,,Expired,2310  LAMAR BLVD,78704,30.24752373,-97.77489672,5,"(30.24752373,-97.77489672)",2010-054552 SO
Outdoor Music Venue,Uncle Billy's Brew & Que,,,Other,2009,250,70,,,,,,,CS - GENERAL COMMERCIAL,,2009-07-09,2009-08-11,10:00 PM,,8:30 PM,,10:00 PM,,8:30 PM,,8:30 PM,,8:30 PM,,8:30 PM,,690704,Yes,5000,,,,,,,,,,,Expired,1530  BARTON SPRINGS RD,78704,30.26208995,-97.76118798,9,"(30.26208995,-97.76118798)",2009-074051 SO
Outdoor Music Venue,UNCLE BILLY'S BREW & QUE,,,Other,2010,250,70,,,,,,,CS - GENERAL COMMERCIAL,,2010-08-10,2011-02-02,10:00 PM,,8:30 PM,,10:00 PM,,8:30 PM,,8:30 PM,,8:30 PM,,8:30 PM,,690704,Yes,5000,,,,,,,,,,,Expired,1530  BARTON SPRINGS RD,78704,30.26208995,-97.76118798,9,"(30.26208995,-97.76118798)",2010-068365 SO
Outdoor Music Venue,UNCLE BILLY'S BREW & QUE,,,Other,2012,250,70,,,,,,,CS - GENERAL COMMERCIAL,,2012-01-10,2012-02-23,10:00 PM,11:00 AM,8:30 PM,11:00 AM,10:00 PM,11:00 AM,8:30 PM,11:00 AM,8:30 PM,11:00 AM,8:30 PM,11:00 AM,8:30 PM,11:00 AM,690704,Yes,5000,,,,,,,,,,,Expired,1530  BARTON SPRINGS RD,78704,30.26208995,-97.76118798,9,"(30.26208995,-97.76118798)",2012-002343 SO
Private Sound Amplification,3808 W 35TH ST,JUNE,2015,Other,2015,,75,,,,10:00PM,,,SF-3 - FAMILY RESIDENCE,2015-06-27,2015-06-22,2015-06-25,,,,,,,,,,,,,,,388568,,,2015-06-27,,,,,,,8:30PM,,,Expired,3808  35TH ST,78731,30.3134215,-97.77435099,10,"(30.3134215,-97.77435099)",2015-074879 SO
Private Sound Amplification,2601 EXPOSITION BOULEVARD,MARCH,2021,Within 600 ft of Residential,2021,,75,,,,,8PM,,SF-3-NP,2021-04-25,2021-03-16,2021-04-02,,,,,,,,,,,,,,,416318,,,2021-03-28,,,,,,,,10AM,,Expired,2601  EXPOSITION BLVD,78703,30.30078155,-97.76516473,10,"(30.30078155,-97.76516473)",2021-038033 SO
Outdoor Music Venue,The 512,,,6th Street District,2013,380,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2013-04-18,2014-02-21,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,2:00am,10:00am,200744,No,4800,,,,,,,,,,,Expired,408  6TH ST,78701,30.26727938,-97.73879424,9,"(30.26727938,-97.73879424)",2013-039922 SO
Outdoor Music Venue,"Nook Amphitheater, The",,,6th Street District,2014,202,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2014-08-04,2014-08-29,2:00AM,3:00PM,2:00AM,3:00PM,2:00AM,3:00PM,2:00AM,3:00PM,2:00AM,3:00PM,2:00AM,3:00PM,2:00AM,3:00PM,166730,No,3200,,,,,,,,,,,Expired,309  6TH ST,78701,30.26708588,-97.74010486,9,"(30.26708588,-97.74010486)",2014-081675 SO
